"","id","data","data_pagamento","data_cancelamento","numero_pedido","status","pagamento","produto","sku","quantidade","total","total_pago","total_produtos","total_desconto","total_custo","total_juros","total_frete","total_item","parcelado","parcelamento","entregue","dias_para_entrega","data_de_entrega","entrega_bairro","entrega_cidade","entrega_estado","entrega_cep","utm_source","utm_campaign","utm_medium","utm_content","utm_term","customizacao","id_cliente"
"1",117569438,"04/08/2024 18:26:40","04/08/2024 18:27",NA,1042552530523300,"Pagamento aprovado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"508,9","508,9","589",100,"0",0,"19,9","589","não",1,"nao",7,"13/08/2024 00:00:00","Setor Leste (Gama)","Brasilia","Distrito Federal","72455490",NA,NA,NA,NA,NA,NA,"31d69aed10"
"2",117385907,"01/08/2024 19:08:02","01/08/2024 19:11",NA,1042552893870166,"Pagamento aprovado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"518,9","518,9","589",100,"0",0,"29,9","589","não",1,"nao",10,"15/08/2024 00:00:00","Varzea Nova","Varzea Nova(Santa Rita)","Paraiba","58304500",NA,NA,NA,NA,NA,NA,"3e109eedd5"
"3",117385794,"01/08/2024 19:05:53",NA,"01/08/2024 19:12",1042552190094688,"Cancelado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"518,9","518,9","589",100,"0",0,"29,9","589","não",1,"nao",10,"11/08/2024 00:00:00","Varzea Nova","Varzea Nova(Santa Rita)","Paraiba","58304500",NA,NA,NA,NA,NA,NA,"3e109eedd5"
"4",117382873,"01/08/2024 18:12:14",NA,"01/08/2024 19:13",1042552273445602,"Cancelado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"518,9","518,9","589",100,"0",0,"29,9","589","não",1,"nao",10,"11/08/2024 00:00:00","Varzea Nova","Varzea Nova(Santa Rita)","Paraiba","58304500",NA,NA,NA,NA,NA,NA,"3e109eedd5"
"5",117382771,"01/08/2024 18:09:41",NA,"01/08/2024 19:13",1042552782939597,"Cancelado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"518,9","518,9","589",100,"0",0,"29,9","589","não",1,"nao",10,"11/08/2024 00:00:00","Varzea Nova","Varzea Nova(Santa Rita)","Paraiba","58304500",NA,NA,NA,NA,NA,NA,"3e109eedd5"
"6",117382712,"01/08/2024 18:08:13",NA,"01/08/2024 19:13",1042552464376871,"Cancelado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"518,9","518,9","589",100,"0",0,"29,9","589","não",1,"nao",10,"11/08/2024 00:00:00","Varzea Nova","Varzea Nova(Santa Rita)","Paraiba","58304500",NA,NA,NA,NA,NA,NA,"3e109eedd5"
"7",117382503,"01/08/2024 18:04:08",NA,"01/08/2024 19:13",1042552931198287,"Cancelado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"518,9","518,9","589",100,"0",0,"29,9","589","não",1,"nao",10,"11/08/2024 00:00:00","Varzea Nova","Varzea Nova(Santa Rita)","Paraiba","58304500",NA,NA,NA,NA,NA,NA,"3e109eedd5"
"8",117382095,"01/08/2024 17:56:46",NA,"01/08/2024 19:13",1042552260877262,"Cancelado","Pix","BRACELETE AJUSTÁVEL O COM COROA","DFREFSP8P",1,"518,9","518,9","589",100,"0",0,"29,9","589","não",1,"nao",10,"11/08/2024 00:00:00","Varzea Nova","Varzea Nova(Santa Rita)","Paraiba","58304500","SMS","Carrinho Abandonado 1",NA,NA,NA,NA,"3e109eedd5"
"9",117375808,"01/08/2024 15:57:53","01/08/2024 15:59",NA,1042552398274508,"Pagamento aprovado","Pix","BRACELETE AJUSTÁVEL O SIGNATURE","M7ZQ5L9JL",1,"418,9","418,9","499",100,"0",0,"19,9","499","não",1,"nao",7,"12/08/2024 00:00:00","Centro","Canoas","Rio Grande do Sul","92310-240",NA,NA,NA,NA,NA,NA,"ddef8dfacc"
"10",117190391,"29/07/2024 16:41:15","29/07/2024 16:42",NA,1042552902283250,"Pagamento aprovado","Pix","BRINCO ARGOLA SOL E LUA","JRM3YWN95",1,"168,9","168,9","149",0,"0",0,"19,9","149","não",1,"nao",7,"07/08/2024 00:00:00","Vila Alta","Lins","Sao Paulo","16400510","ig","MCLJ","1.0 - CAMP1.0 | LAL1-2% COMPRADORES - M2055BR - AP  IG","ADS-VADS_13_BRINCO LOVED COM PINGENTE3 - Copy","frio",NA,"ce08f9bda2"
"11",117079172,"27/07/2024 18:45:11","27/07/2024 18:45",NA,1042552861812035,"Pagamento aprovado","Cartão de crédito","BRINCO ARGOLA SOL E LUA","JRM3YWN95",2,"362,31","362,31","298",0,"0",44.41,"19,9","298","sim",7,"nao",7,"03/08/2024 00:00:00","Area Rural de Pouso Alegre","Pouso Alegre","Minas Gerais","37561899",NA,NA,NA,NA,NA,NA,"c9233b915e"
"12",117019004,"26/07/2024 19:09:24","26/07/2024 19:09",NA,1042552858407839,"Pagamento aprovado","Cartão de crédito","BRINCO PINGENTE SIGNATURE","TMXCUUW38",1,"200,77","200,77","183",0,"0",17.77,"0","183","sim",5,"nao",7,"02/08/2024 00:00:00","Gavea","Rio de Janeiro","Rio de Janeiro","22451000",NA,NA,NA,NA,NA,NA,"f026eb1e16"
"13",116996672,"26/07/2024 12:01:35",NA,NA,1042552919766370,"Aguardando pagamento","Pix","BRINCO CORAÇÕES","PPW5U8MVC",1,"166,9","166,9","147",0,"0",0,"19,9","147","não",1,"nao",7,"02/08/2024 00:00:00","Vargem Grande","Florianopolis","Santa Catarina","88058000",NA,NA,NA,NA,NA,NA,"0220acd6a2"
"14",116459653,"17/07/2024 23:05:24","17/07/2024 23:05",NA,1042552877128662,"Pagamento aprovado","Cartão de crédito","BRINCO PEQUENO SIGNATURE","74F6CQWEW",1,"124,3","124,3","111,6",0,"0",12.7,"0","111,6","sim",6,"nao",7,"24/07/2024 00:00:00","Monte Alegre (Monte Alegre)","Camboriu","Santa Catarina","88348702","ig","MCLJ","3.0 - CAMP0.0 | A - M2055BR - AP","ADS-VADS_5","frio",NA,"dc1ba1366f"
"15",116459622,"17/07/2024 23:04:36","17/07/2024 23:04",NA,1042552411129373,"Pagamento aprovado","Cartão de crédito","BRINCO PINGENTE SIGNATURE","TMXCUUW38",1,"194,72","194,72","183",0,"0",11.72,"0","183","sim",3,"nao",7,"24/07/2024 00:00:00","Monte Alegre (Monte Alegre)","Camboriu","Santa Catarina","88348702","ig","MCLJ","3.0 - CAMP0.0 | A - M2055BR - AP","ADS-VADS_5","frio",NA,"dc1ba1366f"
